Coupon,Rating,Name,Location,Delivery Time,Delivery Fee,Average Price,Food Type
$11.5 off $40 rookie coupon,No Rating,,,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,4.0,Soft Sweve,Kips Bay) (Manhattan,Over 73min,$4.99,,
$11.5 off $40 rookie coupon,No Rating,ZlS BBQ,Manhattan,Over 73min,$4.99,$35,
$11.5 off $40 rookie coupon,5.0,Smoove Ice Cream,Downtown,Over 73min,$6.99,,
$11.5 off $40 rookie coupon,No Rating,Wang Lao Ji,Downtown,Over 73min,$6.99,,Bubble Tea
$11.5 off $40 rookie coupon,No Rating,The Dough Club,Downtown,Over 73min,$6.99,,
$11.5 off $40 rookie coupon,4.2,Soft Swerve,Allen St) (Manhattan,Over 73min,$6.99,,
$11.5 off $40 rookie coupon,No Rating,BBF いざかや,Downtown,Over 73min,$6.99,,
$11.5 off $40 rookie coupon,4.2,Matcha Cafe Maiko,Chinatown,Over 73min,$6.99,$10,
Specials 50% off,4.0,Yo Sushi,Chinatown,Over 73min,$6.99,$22,Japanese
$11.5 off $40 rookie coupon,4.2,,,Over 73min,$6.99,,
$11.5 off $40 rookie coupon,4.6,Vivi Bubble Tea,Chinatown,Over 73min,$8.99,$11,Bubble Tea
$11.5 off $40 rookie coupon,4.5,Da Long Yi Hotpot,Chinatown,Over 73min,$8.99,$28,
$11.5 off $40 rookie coupon,4.5,,,Over 73min,$8.99,$6,Bubble Tea
Specials 5% off,4.7,Peking Duck House,Chinatown,Over 73min,$8.99,$9,Chinese
$11.5 off $40 rookie coupon,4.5,Mango Mango,Chinatown,Over 73min,$8.99,$13,
$11.5 off $40 rookie coupon,4.0,JM BBQ,Manhattan Downtown,Over 73min,$8.99,$29,
$11.5 off $40 rookie coupon,4.5,Suga Box,Chinatown,Over 73min,$8.99,$9,
$11.5 off $40 rookie coupon,4.3,Just Mala Pot,Chinatown,Over 73min,$8.99,$14,
$11.5 off $40 rookie coupon,4.5,Atlas Kitchen,Manhattan Uptown,25-40min,$1.99,$25,
Specials 50% off,4.9,Kyuramen,UPTOWN,26-36min,$1.99,$23,
$11.5 off $40 rookie coupon,4.5,Happy Hot Hunan,Uptown,26-36min,$1.99,$22,
$11.5 off $40 rookie coupon,4.6,Dun Huang,Manhattan Uptown,31-41min,$1.99,$24,
Everything 30% off,4.8,Sing Choi Kee,Downtown,Over 73min,$4.99,$18,Chinese
$11.5 off $40 rookie coupon,4.8,AweSum DimSum,Downtown,53-63min,$4.99,$22,
$11.5 off $40 rookie coupon,4.8,Yi Fang Taiwan Fruit Tea,Lexington,Over 73min,$4.99,$13,Bubble Tea
$11.5 off $40 rookie coupon,4.8,Bings and Noodle,downtown,53-63min,$4.99,$18,
$11.5 off $40 rookie coupon,4.7,Ajisen Rammen,Midtown,Over 73min,$4.99,$15,
$11.5 off $40 rookie coupon,4.5,Mountain House Manhattan,Downtown,Over 73min,$4.99,$39,
Specials 77% off,4.4,108 Food Dried Hot Pot,Uptown,25-40min,$1.99,$32,
$11.5 off $40 rookie coupon,4.6,Debutea Peach Summer,NYU,Over 73min,$4.99,$9,Bubble Tea
